City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,20,AR,2019-03-24 03:00:00,76,-54.81,-68.31,51.8,20.8
Busselton,12,AU,2019-03-24 03:40:17,29,-33.64,115.35,72,15.79
Clonakilty,40,IE,2019-03-24 03:00:00,80,51.62,-8.87,39.2,5.82
Oranjemund,92,ZA,2019-03-24 03:42:45,92,-28.55,16.43,62.22,2.48
Dingle,0,PH,2019-03-24 03:41:59,55,11,122.67,84.63,15.68
Kodiak,90,US,2019-03-24 03:38:52,57,39.95,-94.76,53.01,8.05
Guymon,20,US,2019-03-24 03:15:00,66,36.68,-101.48,50,11.41
Arraial do Cabo,12,BR,2019-03-24 03:41:22,92,-22.97,-42.02,77.88,9.75
Rikitea,80,PF,2019-03-24 03:41:19,99,-23.12,-134.97,79.14,18.25
Uryupinsk,20,RU,2019-03-24 03:33:37,84,50.8,42.01,30.99,1.01
Punta Arenas,75,CL,2019-03-24 03:33:09,87,-53.16,-70.91,51.8,12.75
Grindavik,40,IS,2019-03-24 03:31:38,100,63.84,-22.43,33.8,3.36
Sinnamary,100,GF,2019-03-24 03:43:01,99,5.38,-52.96,78.78,11.54
Saint Marys,1,US,2019-03-24 03:40:04,50,41.43,-78.56,30.2,5.82
Port Alfred,68,ZA,2019-03-24 03:39:27,97,-33.59,26.89,73.99,1.01
La Ronge,20,CA,2019-03-24 03:00:00,62,55.1,-105.3,19.4,8.05
Upernavik,32,GL,2019-03-24 03:41:53,100,72.79,-56.15,-10.24,11.1
Puerto Ayora,24,EC,2019-03-24 03:31:17,95,-0.74,-90.35,77,10.87
Pangnirtung,68,CA,2019-03-24 03:43:12,73,66.15,-65.72,5.16,26.08
Iberia,32,PE,2019-03-24 03:43:13,92,-11.41,-69.49,74.73,1.48
Behshahr,0,IR,2019-03-24 03:00:00,100,36.69,53.54,44.6,4.7
Ponta do Sol,64,BR,2019-03-24 03:41:39,92,-20.63,-46,67.26,2.93
Antalaha,0,MG,2019-03-24 03:43:17,94,-14.9,50.28,76.53,10.09
Namwala,8,ZM,2019-03-24 03:43:19,77,-15.75,26.45,67.89,9.42
Namibe,88,AO,2019-03-24 03:43:20,100,-15.19,12.15,78.06,1.36
Quatre Cocos,75,MU,2019-03-24 03:38:59,83,-20.21,57.76,82.4,11.41
Hays,1,US,2019-03-24 03:31:00,87,38.88,-99.33,50,12.75
Anadyr,75,RU,2019-03-24 03:43:14,78,64.73,177.51,8.6,14.45
Vila Velha,75,BR,2019-03-24 03:38:22,94,-3.71,-38.6,79,2.24
Bredasdorp,92,ZA,2019-03-24 03:30:24,83,-34.53,20.04,69.8,1.12
Kingston,5,CA,2019-03-24 03:42:12,56,44.23,-76.48,33.01,13.87
Kaitangata,100,NZ,2019-03-24 03:43:31,67,-46.28,169.85,69.42,3.71
Chegdomyn,12,RU,2019-03-24 03:43:32,41,51.13,133.04,19.38,3.15
Mataura,76,NZ,2019-03-24 03:40:07,82,-46.19,168.86,69.01,1.99
Cape Town,40,ZA,2019-03-24 03:38:10,93,-33.93,18.42,71.01,12.75
New Norfolk,75,AU,2019-03-24 03:41:15,60,-42.78,147.06,71.01,12.75
Hasaki,20,JP,2019-03-24 03:33:13,25,35.73,140.83,57,19.46
Kulhudhuffushi,0,MV,2019-03-24 03:43:39,100,6.62,73.07,83.73,7.85
Bluff,0,AU,2019-03-24 03:43:41,48,-23.58,149.07,90.66,8.3
Mar del Plata,0,AR,2019-03-24 03:43:42,100,-46.43,-67.52,45.93,3.15
Saldanha,0,PT,2019-03-24 03:43:43,90,41.42,-6.55,36.21,3.04
Akalkot,0,IN,2019-03-24 03:43:45,43,17.53,76.22,81.75,4.61
Jalu,0,LY,2019-03-24 03:43:47,82,29.03,21.55,56.73,9.64
Hami,0,CN,2019-03-24 03:43:49,47,42.84,93.51,49.8,8.08
Teknaf,0,BD,2019-03-24 03:43:50,71,20.86,92.31,84,3.49
Santa Isabel do Rio Negro,20,BR,2019-03-24 03:43:51,94,-0.41,-65.02,77.16,2.48
Saint-Philippe,1,CA,2019-03-24 03:40:12,46,45.36,-73.48,30.99,13.87
Jodar,0,ES,2019-03-24 03:42:04,77,37.84,-3.35,46.99,1.99
Inongo,92,CD,2019-03-24 03:43:55,100,-1.93,18.29,69.69,3.27
Bundibugyo,8,UG,2019-03-24 03:43:56,88,0.71,30.06,57.81,1.7
Samarai,92,PG,2019-03-24 03:43:58,100,-10.62,150.67,79.59,8.97
Kovdor,24,RU,2019-03-24 03:43:59,79,67.56,30.47,28.11,7.85
Port Lincoln,80,AU,2019-03-24 03:44:02,86,-34.72,135.86,68.79,22.39
Esperance,20,TT,2019-03-24 03:40:08,83,10.24,-61.45,77,9.17
San Quintin,12,PH,2019-03-24 03:44:04,43,17.54,120.52,84.54,3.83
Omboue,80,GA,2019-03-24 03:44:06,100,-1.57,9.26,78.96,3.83
Touros,40,BR,2019-03-24 03:00:00,94,-5.2,-35.46,78.8,5.82
Torbay,90,CA,2019-03-24 03:38:37,93,47.66,-52.73,37.99,18.34
Vaini,0,IN,2019-03-24 03:00:00,23,15.34,74.49,84.2,5.82
Thompson,5,CA,2019-03-24 03:00:00,54,55.74,-97.86,5,5.82
Vermilion,75,CA,2019-03-24 03:00:00,80,53.35,-110.85,35.6,13.87
Bambous Virieux,75,MU,2019-03-24 03:43:59,83,-20.34,57.76,82.4,11.41
Wajir,0,KE,2019-03-24 03:44:15,70,1.75,40.07,75.9,11.77
Majene,8,ID,2019-03-24 03:43:16,90,-3.54,118.97,84.99,10.42
Jamestown,92,AU,2019-03-24 03:41:00,92,-33.21,138.6,66.9,20.27
Yar-Sale,24,RU,2019-03-24 03:44:19,77,66.83,70.83,11.1,7.63
Karratha,100,AU,2019-03-24 03:44:20,70,-20.74,116.85,81.03,39.5
Baoqing,88,CN,2019-03-24 03:44:21,63,46.32,132.2,31.26,9.64
Homer,75,US,2019-03-24 03:42:06,70,59.64,-151.54,44.6,4.7
Hermanus,20,ZA,2019-03-24 03:30:24,97,-34.42,19.24,60.01,2.71
Longyearbyen,20,NO,2019-03-24 02:50:00,61,78.22,15.63,17.6,11.41
Albany,1,US,2019-03-24 03:38:11,40,42.65,-73.75,33.8,8.75
Tiksi,48,RU,2019-03-24 03:44:29,78,71.64,128.87,6.6,7.18
Avarua,92,CK,2019-03-24 03:00:00,94,-21.21,-159.78,77,3.36
Beyneu,0,KZ,2019-03-24 03:44:32,83,45.32,55.19,33.33,3.71
Guerrero Negro,0,MX,2019-03-24 03:44:33,88,27.97,-114.04,58.26,8.75
Lebu,20,ET,2019-03-24 03:00:00,58,8.96,38.73,57.2,4.7
Tasiilaq,0,GL,2019-03-24 02:50:00,40,65.61,-37.64,14,3.36
Butaritari,88,KI,2019-03-24 03:44:39,100,3.07,172.79,80.85,9.64
Torres,0,BR,2019-03-24 03:42:07,100,-29.34,-49.73,64.83,3.49
Khatanga,0,RU,2019-03-24 03:41:43,34,71.98,102.47,-9.88,6.06
Catalao,12,BR,2019-03-24 03:44:44,92,-18.17,-47.95,67.53,5.39
Pisco,0,PE,2019-03-24 03:00:00,73,-13.71,-76.2,71.6,8.05
Sola,20,NO,2019-03-24 03:40:02,100,58.89,5.65,42.01,9.17
Nikolskoye,20,RU,2019-03-24 03:40:35,93,59.7,30.79,37,4.47
Rawson,0,AR,2019-03-24 03:43:23,67,-43.3,-65.11,55.47,15.79
Amapa,20,HN,2019-03-24 03:00:00,73,15.09,-87.97,73.4,6.93
Chokurdakh,24,RU,2019-03-24 03:42:05,98,70.62,147.9,-0.34,4.38
Bethel,90,US,2019-03-24 02:56:00,75,60.79,-161.76,42.8,16.11
Hilo,1,US,2019-03-24 03:36:26,64,19.71,-155.08,75.2,11.41
Mount Isa,75,AU,2019-03-24 03:00:00,62,-20.73,139.49,84.2,18.34
Hovd,75,NO,2019-03-24 03:44:31,74,63.83,10.7,39,20.8
Bay Roberts,90,CA,2019-03-24 03:43:27,93,47.58,-53.28,37.99,18.34
Ilabaya,0,PE,2019-03-24 03:45:02,77,-17.42,-70.51,53.76,2.15
Ambilobe,48,MG,2019-03-24 03:45:04,96,-13.19,49.05,72.57,2.59
Rocha,0,UY,2019-03-24 03:45:06,71,-34.48,-54.34,61.32,8.19
Rio Gallegos,75,AR,2019-03-24 03:00:00,87,-51.62,-69.22,51.8,17.22
Kapaa,90,US,2019-03-24 03:38:25,83,22.08,-159.32,75.2,20.8
Siocon,8,PH,2019-03-24 03:45:10,93,11.03,124.04,81.12,12.55
Ortakoy,75,TR,2019-03-24 03:20:00,63,38.74,34.04,30.2,23.04
Kensington,90,CA,2019-03-24 03:42:52,87,46.44,-63.64,32,20.8
Puerto Escondido,0,MX,2019-03-24 03:45:14,100,15.86,-97.07,83.73,9.64
Tuktoyaktuk,75,CA,2019-03-24 03:00:00,72,69.44,-133.03,15.8,20.8
Klaksvik,88,FO,2019-03-24 03:20:00,86,62.23,-6.59,39.2,10.29
Ribeira Grande,56,PT,2019-03-24 03:45:18,100,38.52,-28.7,57.9,24.18
Muros,0,ES,2019-03-24 03:45:04,57,42.77,-9.06,55.99,10.2
Kupang,40,ID,2019-03-24 03:00:00,62,-10.16,123.6,89.6,12.75
Port Blair,0,IN,2019-03-24 03:42:06,100,11.67,92.75,82.2,7.74
Harper,90,US,2019-03-24 03:41:23,88,30.3,-99.24,66.2,13.87
Carnarvon,8,ZA,2019-03-24 03:45:25,23,-30.97,22.13,64.38,6.4
Payo,24,ID,2019-03-24 03:45:26,97,-3.75,103.64,78.96,6.17
Senj,0,HR,2019-03-24 03:45:04,57,45.35,13.91,55.99,5.82
Cherskiy,12,RU,2019-03-24 03:45:29,66,68.75,161.3,10.2,2.37
Girona,0,ES,2019-03-24 03:43:56,75,41.98,2.82,57.99,3.36
Sao Filipe,68,CV,2019-03-24 03:42:38,100,14.9,-24.5,69.15,11.65
Presidencia Roque Saenz Pena,0,AR,2019-03-24 03:45:34,78,-26.79,-60.44,65.82,3.71
Miyako,20,JP,2019-03-24 03:45:05,37,33.63,130.94,55.99,9.17
Freeport,48,BS,2019-03-24 03:45:38,100,26.54,-78.7,72.93,11.99
Buala,68,SB,2019-03-24 03:43:32,81,-8.15,159.59,85.8,6.4
La Asuncion,76,EC,2019-03-24 03:45:40,100,-1.64,-78.74,45.12,1.59
Charyshskoye,12,RU,2019-03-24 03:45:42,62,51.4,83.56,33.96,4.61
Cassilandia,12,BR,2019-03-24 03:45:43,88,-19.11,-51.73,71.49,7.74
Bayburt,92,TR,2019-03-24 03:45:47,83,40.26,40.22,18.93,2.93
Tateyama,75,JP,2019-03-24 03:45:41,89,36.66,137.31,51.01,3.36
Mecca,0,SA,2019-03-24 03:43:35,58,21.43,39.83,58.98,2.59
Yeppoon,0,AU,2019-03-24 03:00:00,36,-23.13,150.74,91.4,8.05
Palmer,90,US,2019-03-24 03:45:46,70,61.6,-149.11,44.6,14.99
Codrington,0,AU,2019-03-24 03:43:10,44,-28.95,153.24,95,3.36
Ostrovnoy,0,RU,2019-03-24 03:45:55,87,68.05,39.51,30,19.04
Hirado,20,JP,2019-03-24 03:43:39,34,33.32,129.49,53.01,4.7
Barrow,0,AR,2019-03-24 03:42:02,93,-38.31,-60.23,52.41,5.17
Hithadhoo,76,MV,2019-03-24 03:45:59,98,-0.6,73.08,86.25,8.52
Qaanaaq,12,GL,2019-03-24 03:41:49,81,77.48,-69.36,-26.89,10.76
Holme,20,GB,2019-03-24 03:46:00,86,53.7,-2.31,41,3.36
Englewood,20,US,2019-03-24 03:41:49,93,39.65,-104.99,41,6.93
Kahului,40,US,2019-03-24 03:45:15,65,20.89,-156.47,78.8,23.04
Half Moon Bay,75,US,2019-03-24 03:41:11,81,37.46,-122.43,55.4,6.93
Port Elizabeth,1,US,2019-03-24 03:45:21,38,39.31,-74.98,45,5.82
Airai,32,TL,2019-03-24 03:46:08,65,-8.93,125.41,83.64,1.81
Chulman,80,RU,2019-03-24 03:46:09,66,56.84,124.9,18.57,3.71
Pangai,20,TO,2019-03-24 03:00:00,61,-19.8,-174.35,82.4,6.93
Pavlodar,75,KZ,2019-03-24 03:00:00,100,52.28,76.96,28.4,6.71
Playas,68,EC,2019-03-24 03:46:15,84,-2.64,-80.39,76.8,7.4
Gorontalo,12,ID,2019-03-24 03:46:17,60,0.54,123.06,87.6,2.59
Castro,75,CL,2019-03-24 03:00:00,93,-42.48,-73.76,50,5.82
Inverell,0,AU,2019-03-24 03:46:04,32,-29.78,151.11,95,5.01
Gizo,80,IL,2019-03-24 03:46:00,77,31.8,34.94,59,2.24
Luderitz,48,NA,2019-03-24 03:46:22,93,-26.65,15.16,57.63,9.75
Cayenne,75,GF,2019-03-24 03:00:00,83,4.94,-52.33,78.8,8.05
Bathsheba,75,BB,2019-03-24 03:00:00,83,13.22,-59.52,77,16.11
Zyryanka,24,RU,2019-03-24 03:46:27,72,65.73,150.89,12.54,3.15
Nuqui,32,CO,2019-03-24 03:46:29,95,5.71,-77.27,77.43,2.04
Wasilla,90,US,2019-03-24 03:43:25,70,61.58,-149.44,44.6,3.36
Saint Anthony,40,US,2019-03-24 03:45:53,87,43.97,-111.68,39.2,5.82
Sabang,0,PH,2019-03-24 03:46:33,72,13.72,123.58,82.83,12.66
Atuona,92,PF,2019-03-24 03:46:34,99,-9.8,-139.03,82.65,16.46
Kalmunai,0,LK,2019-03-24 03:45:20,83,7.42,81.82,81.66,3.94
Suntar,68,RU,2019-03-24 03:46:37,61,62.16,117.65,15.96,7.96
Talnakh,76,RU,2019-03-24 03:46:38,83,69.49,88.39,8.94,7.18
Kiama,40,AU,2019-03-24 03:46:06,54,-34.67,150.86,82.4,5.82
Ouallam,68,NE,2019-03-24 03:46:41,16,14.32,2.08,76.53,9.19
Tiznit,92,MA,2019-03-24 03:46:42,100,29.7,-9.73,59.7,6.06
Honiara,64,SB,2019-03-24 03:46:46,87,-9.43,159.96,80.4,2.71
Peyima,68,SL,2019-03-24 03:46:47,93,8.69,-11.04,70.68,3.27
Bulancak,75,TR,2019-03-24 02:50:00,60,40.94,38.23,42.8,11.41
Tubbergen,0,NL,2019-03-24 03:46:42,100,52.41,6.78,39.99,4.38
Cabo San Lucas,5,MX,2019-03-24 03:40:08,77,22.89,-109.91,69.01,7.63
Merauke,36,ID,2019-03-24 03:46:53,99,-8.49,140.4,81.39,9.86
San Patricio,0,PY,2019-03-24 03:46:54,83,-26.98,-56.83,61.86,2.15
Hobart,75,AU,2019-03-24 03:37:21,60,-42.88,147.33,71.01,12.75
Paka,0,HR,2019-03-24 03:00:00,78,45.29,18.06,37.4,5.82
Adrar,0,DZ,2019-03-24 03:00:00,35,27.87,-0.29,57.2,12.75
Black Diamond,75,CA,2019-03-24 03:46:25,93,50.69,-114.23,37.99,9.17
Sanmenxia,8,CN,2019-03-24 03:47:02,40,34.77,111.19,55.74,3.49
Fortuna,0,ES,2019-03-24 03:46:34,81,38.18,-1.13,53.6,3.36
Constitucion,5,MX,2019-03-24 02:42:00,23,23.99,-104.67,64.4,10.29
Dikson,68,RU,2019-03-24 03:46:11,95,73.51,80.55,17.94,23.51
Methoni,0,GR,2019-03-24 03:45:39,41,36.82,21.7,59,6.62
Saskylakh,0,RU,2019-03-24 03:41:30,43,71.97,114.09,-14.29,3.27
Vostok,0,RU,2019-03-24 03:47:10,41,46.45,135.83,24.06,3.94
Kushima,20,JP,2019-03-24 03:03:07,46,31.5,131.29,53.6,6.93
Batemans Bay,92,AU,2019-03-24 03:46:07,78,-35.71,150.18,75.99,3
Joshimath,0,IN,2019-03-24 03:47:14,99,30.57,79.57,8.13,0.58
Santa Vitoria do Palmar,0,BR,2019-03-24 03:47:16,92,-33.52,-53.37,64.2,13
Saint George,20,GR,2019-03-24 03:43:27,86,39.45,22.34,52,6.93
Aviles,8,ES,2019-03-24 03:46:11,87,43.55,-5.92,48.99,1.12
Aklavik,75,CA,2019-03-24 03:00:00,67,68.22,-135.01,21.2,10.29
Eatonton,1,US,2019-03-24 03:46:28,71,33.33,-83.39,55.4,6.17
Souillac,0,FR,2019-03-24 03:42:09,76,45.6,-0.6,48.2,3.36
Waitati,8,NZ,2019-03-24 03:38:26,84,-45.75,170.57,64.99,10
Prince George,1,CA,2019-03-24 03:40:18,80,53.92,-122.75,36,2.37
Norman Wells,40,CA,2019-03-24 03:00:00,83,65.28,-126.83,32,14.99
Lethem,0,GY,2019-03-24 03:47:27,52,3.38,-59.8,83.28,13.89
Naze,80,NG,2019-03-24 03:47:29,93,5.43,7.07,74.1,2.71
Victoria,75,BN,2019-03-24 03:00:00,66,5.28,115.24,89.6,3.36
Pevek,0,RU,2019-03-24 03:46:01,76,69.7,170.27,-3.58,3.6
Kloulklubed,75,PW,2019-03-24 02:50:00,58,7.04,134.26,86,10.29
Yellowknife,75,CA,2019-03-24 03:37:55,55,62.45,-114.38,10.4,10.29
Spornoye,0,RU,2019-03-24 03:00:00,94,50.84,37.29,32,8.95
Jining,24,CN,2019-03-24 03:47:38,49,35.41,116.58,60.6,10.98
Nemuro,75,JP,2019-03-24 03:00:00,79,43.32,145.57,26.6,9.17
Abha,0,SA,2019-03-24 03:00:00,58,18.22,42.5,55.4,4.7
Acapulco,5,MX,2019-03-24 02:48:00,83,16.86,-99.88,80.6,4.7
Iqaluit,90,CA,2019-03-24 03:42:49,78,63.75,-68.52,8.6,25.28
Severo-Kurilsk,80,RU,2019-03-24 03:43:09,98,50.68,156.12,28.92,22.06
Scarborough,64,GB,2019-03-24 03:43:37,80,54.28,-0.41,42.01,5.82
West Wendover,90,US,2019-03-24 02:56:00,93,40.74,-114.07,44.6,6.93
Gemena,64,CD,2019-03-24 03:47:50,95,3.25,19.78,72.12,3.27
Zhezkazgan,90,KZ,2019-03-24 03:00:00,100,47.8,67.71,30.2,2.24
Chicama,20,PE,2019-03-24 03:00:00,88,-7.84,-79.15,68,10.29
Imeni Poliny Osipenko,0,RU,2019-03-24 03:47:55,62,52.42,136.49,23.7,3.71
Eureka,1,US,2019-03-24 03:46:07,100,40.8,-124.16,48.2,6.93
Ugoofaaru,0,MV,2019-03-24 03:47:58,95,5.67,73,85.62,9.75
Mahebourg,75,MU,2019-03-24 03:43:59,83,-20.41,57.7,82.4,11.41
Imbituba,40,BR,2019-03-24 03:00:00,78,-28.24,-48.67,71.6,3.15
Tuatapere,44,NZ,2019-03-24 03:40:07,82,-46.13,167.69,69.01,1.99
Clyde River,90,CA,2019-03-24 03:00:00,83,70.47,-68.59,-14.81,21.92
Avera,1,US,2019-03-24 03:45:37,71,33.19,-82.53,55.4,4.7
Port Hedland,75,AU,2019-03-24 03:00:00,83,-20.31,118.58,80.6,47.2
Guasave,5,MX,2019-03-24 03:45:16,63,25.57,-108.47,66.2,6.93
Narsaq,76,GL,2019-03-24 02:50:00,52,60.91,-46.05,17.6,2.24
Lagoa,0,PT,2019-03-24 03:45:18,58,37.14,-8.45,57.2,13.87
Sao Miguel do Araguaia,20,BR,2019-03-24 03:48:12,95,-13.28,-50.16,73.65,2.93
Waingapu,64,ID,2019-03-24 03:48:15,80,-9.65,120.26,83.19,10.98
Coquimbo,75,CL,2019-03-24 03:00:00,87,-29.95,-71.34,57.2,1.12
Maua,12,KE,2019-03-24 03:48:18,81,0.23,37.94,59.7,1.7
Shache,12,CN,2019-03-24 03:46:14,45,38.42,77.24,39.99,4.38
Antofagasta,0,CL,2019-03-24 03:00:00,72,-23.65,-70.4,62.6,3.36
Laguna,0,MX,2019-03-24 03:45:37,36,27.52,-110.01,69.06,3.38
Pauini,64,BR,2019-03-24 03:48:23,96,-7.71,-67,74.28,2.93
Lata,0,IN,2019-03-24 03:48:24,57,30.78,78.62,49.53,2.04
Fare,56,PF,2019-03-24 03:48:25,99,-16.7,-151.02,84.81,10.98
Sheridan,20,US,2019-03-24 03:45:14,93,39.65,-105.03,41,6.93
Monroe,1,US,2019-03-24 03:43:19,55,41.91,-83.4,39,3.36
Kruisfontein,88,ZA,2019-03-24 03:48:30,83,-34,24.73,66.36,4.38
Tura,0,IN,2019-03-24 03:48:31,71,25.52,90.21,70.86,4.72
Nusaybin,75,TR,2019-03-24 03:00:00,87,37.08,41.21,50,11.41
Chuy,0,UY,2019-03-24 03:41:01,92,-33.69,-53.46,64.2,13
Hualmay,20,PE,2019-03-24 03:48:35,89,-11.1,-77.61,67.17,4.61
Nhamunda,8,BR,2019-03-24 03:48:36,95,-2.19,-56.71,75,2.37
Portland,75,US,2019-03-24 03:41:08,62,45.52,-122.67,53.01,6.93
Baruun-Urt,48,MN,2019-03-24 03:48:40,40,46.68,113.28,39.27,12.1
Wagar,0,US,2019-03-24 03:47:17,70,31.44,-87.99,54,5.95
Beaverlodge,75,CA,2019-03-24 03:00:00,88,55.21,-119.43,37.4,8.05
Redlands,90,US,2019-03-24 03:46:15,82,34.06,-117.19,62.6,12.75
Durant,1,US,2019-03-24 03:48:16,82,33.99,-96.37,66.99,13.87
Oyama,40,JP,2019-03-24 03:48:12,21,36.31,139.8,57,8.05
Faanui,32,PF,2019-03-24 03:48:50,100,-16.48,-151.75,84.81,10.65
Mbigou,92,GA,2019-03-24 03:48:52,97,-1.9,11.91,69.51,3.15
Kapuskasing,40,CA,2019-03-24 03:00:00,47,49.42,-82.43,37.4,8.05
Limbang,75,BN,2019-03-24 03:00:00,70,4.75,115.01,89.6,3.36
Provideniya,44,RU,2019-03-24 03:45:41,100,64.42,-173.23,22.08,23.73
Asuncion,0,PY,2019-03-24 03:00:00,83,-25.3,-57.63,73.4,2.82
Lompoc,1,US,2019-03-24 03:45:20,87,34.64,-120.46,57.2,12.75
Broome,80,GB,2019-03-24 03:46:18,86,52.47,1.45,42.01,3.36
Lazaro Cardenas,5,MX,2019-03-24 03:45:11,21,28.39,-105.62,66.99,5.06
Byron Bay,0,AU,2019-03-24 03:48:17,62,-28.65,153.62,95,12.75
Iquitos,0,PE,2019-03-24 03:00:00,94,-3.75,-73.25,77,2.48
Thoen,0,TH,2019-03-24 03:49:06,41,17.61,99.22,91.83,2.59
Ballina,44,IE,2019-03-24 03:48:11,76,54.11,-9.15,45,20
Saint-Denis,90,FR,2019-03-24 03:45:30,93,48.94,2.36,48.99,6.93
Nanortalik,80,GL,2019-03-24 03:41:51,100,60.14,-45.24,24.6,22.5
Fredericton,20,CA,2019-03-24 03:46:19,55,45.97,-66.65,37.4,13.87
Colac,36,AU,2019-03-24 03:42:08,42,-38.34,143.59,82.99,5.99
Bambanglipuro,64,ID,2019-03-24 03:45:42,98,-7.95,110.28,81.75,4.38
Kavieng,80,PG,2019-03-24 03:49:15,100,-2.57,150.8,80.76,6.62
Beloha,8,MG,2019-03-24 03:49:16,83,-25.17,45.06,74.1,14.67
Agirish,12,RU,2019-03-24 03:49:17,74,61.92,63.02,18.57,5.06
Porto Novo,75,BR,2019-03-24 03:00:00,94,-23.68,-45.44,68,3.36
Temiscaming,1,CA,2019-03-24 03:40:17,79,46.72,-79.1,28,12.75
Marystown,88,CA,2019-03-24 03:31:23,100,47.17,-55.16,36,19.71
Grand Gaube,75,MU,2019-03-24 03:43:59,83,-20.01,57.66,82.4,11.41
Georgetown,20,GY,2019-03-24 03:00:00,94,6.8,-58.16,75.2,4.7
Itaituba,88,BR,2019-03-24 03:49:25,89,-4.26,-55.99,77.52,2.37
