City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hobyo,88,SO,2019-03-24 03:49:28,79,5.35,48.53,81.12,13.56
Naron,0,ES,2019-03-24 03:45:33,93,43.52,-8.15,55.99,6.93
Zadar,0,HR,2019-03-24 03:46:05,75,44.12,15.24,46.99,1.12
Kasongo-Lunda,88,CD,2019-03-24 03:49:32,97,-6.48,16.82,67.98,0.81
Revda,48,RU,2019-03-24 03:49:33,83,67.94,34.55,28.47,7.74
Yulara,24,AU,2019-03-24 03:00:00,23,-25.24,130.99,96.8,6.93
Westport,92,IE,2019-03-24 03:43:03,84,53.8,-9.52,44.01,1.99
Sao Joao da Barra,32,BR,2019-03-24 03:49:38,97,-21.64,-41.05,80.67,10.87
Wakkanai,40,JP,2019-03-24 03:00:00,63,45.41,141.67,30.2,6.93
Matadi,68,CD,2019-03-24 03:49:41,100,-5.83,13.46,72.3,4.05
Eydhafushi,0,MV,2019-03-24 03:49:43,95,5.1,73.07,85.62,9.75
Yinchuan,0,CN,2019-03-24 03:47:19,45,38.48,106.21,50.43,4.5
Balkanabat,76,TM,2019-03-24 03:49:45,93,39.51,54.36,42.78,5.39
San Cristobal,75,EC,2019-03-24 03:45:33,93,-0.39,-78.55,57.2,4.7
Arlit,56,NE,2019-03-24 03:45:32,31,18.74,7.39,67.53,4.27
Mackay,90,CA,2019-03-24 03:15:00,86,53.65,-115.58,42.8,5.39
Los Llanos de Aridane,75,ES,2019-03-24 03:40:05,63,28.66,-17.92,62.6,8.05
Wernberg,0,AT,2019-03-24 03:49:39,93,46.62,13.93,50,5.82
Kilinochchi,0,LK,2019-03-24 03:49:53,99,9.4,80.4,81.93,8.75
Leningradskiy,76,RU,2019-03-24 03:49:54,83,69.38,178.42,-2.23,19.82
Zhigansk,64,RU,2019-03-24 03:49:56,65,66.77,123.37,12.72,9.64
Rafaela,0,AR,2019-03-24 03:45:51,56,-31.25,-61.49,69.01,8.3
Cabedelo,40,BR,2019-03-24 03:00:00,94,-6.97,-34.84,77,4.7
Yendi,64,GH,2019-03-24 03:50:01,68,9.45,0,81.3,9.64
Dubti,0,ET,2019-03-24 03:50:02,84,11.74,41.09,64.02,3.27
Isangel,90,VU,2019-03-24 03:00:00,70,-19.55,169.27,86,6.93
Ambon,0,FR,2019-03-24 03:49:37,87,47.55,-2.56,48.99,6.93
Egvekinot,80,RU,2019-03-24 03:50:07,74,66.32,-179.17,4.44,4.5
Tamandare,48,BR,2019-03-24 03:50:08,97,-8.28,-70.75,73.38,1.92
Dakar,0,SN,2019-03-24 03:00:00,82,14.69,-17.45,64.4,14.99
Comodoro Rivadavia,0,AR,2019-03-24 03:00:00,87,-45.87,-67.48,53.6,2.24
Bubaque,32,GW,2019-03-24 03:46:03,100,11.28,-15.83,76.35,14.12
Talcahuano,0,CL,2019-03-24 03:00:00,76,-36.72,-73.12,55.4,13.87
Almaznyy,75,RU,2019-03-24 03:00:00,88,48.03,40.04,33.8,8.95
Natal,40,BR,2019-03-24 03:00:00,88,-5.81,-35.21,80.6,4.7
Manggar,48,ID,2019-03-24 03:50:18,99,-2.88,108.27,83.55,5.06
East London,0,ZA,2019-03-24 03:38:46,91,-33.02,27.91,75.63,21.72
Cidreira,0,BR,2019-03-24 03:50:21,93,-30.17,-50.22,62.13,6.17
Hamilton,75,BM,2019-03-24 03:46:46,63,32.3,-64.78,64.4,20.8
Hambantota,20,LK,2019-03-24 03:10:00,94,6.12,81.12,82.4,5.82
Podgornoye,80,RU,2019-03-24 03:50:25,84,57.79,82.64,29.73,3.6
Xonacatlan,20,MX,2019-03-24 03:43:08,24,19.4,-99.53,75.2,3.36
Atar,0,MR,2019-03-24 03:50:27,68,20.52,-13.05,54.66,2.48
Kavaratti,12,IN,2019-03-24 03:41:49,100,10.57,72.64,83.46,10.76
Kostomuksha,0,RU,2019-03-24 03:50:30,76,64.59,30.6,29.46,9.98
Mengcheng,68,CN,2019-03-24 03:50:31,63,33.26,116.57,57.18,8.19
San Juan,0,AR,2019-03-24 03:46:25,64,-31.54,-68.53,63.48,5.06
Chabahar,80,IR,2019-03-24 03:50:37,96,25.29,60.65,73.02,6.96
Las Vegas,40,US,2019-03-24 03:45:19,27,36.17,-115.15,66.99,6.93
Bilibino,0,RU,2019-03-24 03:45:43,67,68.06,166.44,14.7,3.04
Huarmey,44,PE,2019-03-24 03:50:42,82,-10.07,-78.15,66.36,2.93
Shimoda,20,JP,2019-03-24 03:42:53,46,34.7,138.93,55.4,9.17
Khartoum,0,SD,2019-03-24 03:30:00,16,15.59,32.54,77,3.36
Edson,90,CA,2019-03-24 03:15:00,86,53.59,-116.44,39.2,4.83
Moyale,0,ET,2019-03-24 03:50:48,51,3.52,39.05,64.65,4.83
Ampanihy,0,MG,2019-03-24 03:50:49,87,-24.69,44.75,70.32,10.42
Richards Bay,8,ZA,2019-03-24 03:50:51,95,-28.77,32.06,69.6,9.75
Dovbysh,32,UA,2019-03-24 03:50:53,74,50.37,27.99,25.68,4.16
Hervey Bay,0,AU,2019-03-24 03:45:08,48,-25.3,152.85,90,10.29
Jambi,64,ID,2019-03-24 03:49:56,90,-1.6,103.62,79.95,3.83
Anloga,20,GH,2019-03-24 03:00:00,83,5.79,0.9,82.4,11.41
Anito,68,PH,2019-03-24 03:51:00,98,12.45,125.29,79.5,15.57
Elizabeth City,1,US,2019-03-24 03:50:32,69,36.3,-76.22,46.4,5.5
Soyo,64,AO,2019-03-24 03:51:04,97,-6.13,12.37,74.91,2.59
Filingue,64,NE,2019-03-24 03:51:05,22,14.35,3.32,75.99,10.2
Palimbang,75,PH,2019-03-24 03:49:53,48,14.9,120.78,91,6.93
Matagami,44,NG,2019-03-24 03:51:08,81,9.67,8.4,68.16,3.49
Sabha,36,LY,2019-03-24 03:51:09,53,27.03,14.43,52.23,7.18
Ancud,75,CL,2019-03-24 03:00:00,93,-41.87,-73.83,50,5.82
Jaisalmer,36,IN,2019-03-24 03:48:03,57,26.91,70.91,67.62,11.32
Verkhoturye,0,RU,2019-03-24 03:51:16,65,58.86,60.81,16.5,2.37
Bereda,0,ES,2019-03-24 03:50:04,93,43.27,-7.54,48.99,4.7
Chapais,90,CA,2019-03-24 03:00:00,41,49.78,-74.86,23,8.05
Sitka,0,US,2019-03-24 03:46:23,77,37.17,-99.65,48,10
Kalnibolotskaya,76,RU,2019-03-24 03:45:17,90,46.01,40.45,30,8.41
Tilichiki,0,RU,2019-03-24 03:51:25,76,60.47,166.1,17.04,7.74
Matara,56,PE,2019-03-24 03:51:28,93,-13.74,-72.9,41.43,1.48
Te Anau,88,NZ,2019-03-24 03:42:03,68,-45.41,167.72,65.82,9.64
Port Victoria,68,AU,2019-03-24 03:51:30,84,-34.5,137.49,71.76,17.02
Kourou,75,GF,2019-03-24 03:00:00,83,5.16,-52.64,78.8,8.05
Kendal,20,ID,2019-03-24 03:00:00,94,-6.92,110.2,77,3.36
Qaqortoq,80,GL,2019-03-24 02:50:00,52,60.72,-46.03,17.6,2.24
Tommot,76,RU,2019-03-24 03:51:35,74,58.97,126.27,22.98,3.83
Nome,1,US,2019-03-24 03:50:40,82,30.04,-94.42,64.99,4.7
Atambua,44,ID,2019-03-24 03:51:38,100,-9.11,124.89,81.66,4.72
Innisfail,90,CA,2019-03-24 03:50:16,100,52.02,-113.95,33.8,5.82
Atbasar,64,KZ,2019-03-24 03:51:41,93,51.81,68.36,32.7,3.83
Launceston,40,AU,2019-03-24 03:46:19,52,-41.43,147.14,69.8,20.8
Northam,92,GB,2019-03-24 03:51:17,65,51.04,-4.21,46.4,3.36
Beian,75,NO,2019-03-24 03:50:16,74,63.66,9.57,37.99,25.28
Cervo,44,BR,2019-03-24 03:51:46,96,-22.19,-46.24,61.59,0.58
Zatoka,75,PL,2019-03-24 03:51:40,87,50.04,20.52,48.99,4.7
Sao Jose da Coroa Grande,24,BR,2019-03-24 03:51:49,96,-8.9,-35.15,76.62,5.5
Husavik,12,CA,2019-03-24 03:50:55,88,50.56,-96.99,30.99,8.01
Mehamn,32,NO,2019-03-24 03:51:51,76,71.03,27.85,23.07,7.07
Coihaique,0,CL,2019-03-24 03:00:00,87,-45.58,-72.07,48.2,3.36
Pandamatenga,0,BW,2019-03-24 03:51:55,59,-18.54,25.64,70.41,12.66
Placido de Castro,88,BR,2019-03-24 03:51:56,89,-10.34,-67.19,74.46,1.92
Bilma,44,NE,2019-03-24 03:51:58,12,18.69,12.92,70.86,12.77
Baculin,32,PH,2019-03-24 03:51:59,84,7.45,126.58,79.95,13.44
Male,24,UA,2019-03-24 03:52:00,77,50.74,33.7,23.97,5.61
Lewistown,1,US,2019-03-24 03:51:36,61,40.39,-90.15,50,6.93
Rio Verde de Mato Grosso,0,BR,2019-03-24 03:52:03,71,-18.92,-54.84,73.47,5.84
Arbazh,76,RU,2019-03-24 03:52:04,78,57.68,48.31,23.61,5.39
Shenjiamen,36,CN,2019-03-24 03:52:06,91,29.96,122.3,52.14,10.31
Trelew,0,AR,2019-03-24 03:52:07,67,-43.25,-65.31,55.47,15.79
Surt,92,LY,2019-03-24 03:52:08,100,31.21,16.59,57.27,8.63
Theunissen,12,ZA,2019-03-24 03:52:10,86,-28.4,26.71,60.15,9.75
Bamiantong,12,CN,2019-03-24 03:52:11,71,44.93,130.53,33.96,9.19
Viedma,92,AR,2019-03-24 03:52:12,76,-40.81,-62.99,59.88,25.75
Redmond,40,US,2019-03-24 03:50:25,50,47.67,-122.12,53.6,3.36
Geraldton,75,CA,2019-03-24 03:00:00,64,49.72,-86.95,35.6,18.34
Barbacoas,88,CO,2019-03-24 03:52:16,98,1.67,-78.14,73.65,1.48
Vanimo,20,PG,2019-03-24 03:52:18,100,-2.67,141.3,83.1,7.96
Vestmanna,88,FO,2019-03-24 03:20:00,86,62.16,-7.17,39.2,10.29
Takoradi,24,GH,2019-03-24 03:52:23,100,4.89,-1.75,80.67,5.39
Estelle,1,US,2019-03-24 03:49:32,72,32.87,-97.01,68,8.05
Ibimirim,64,BR,2019-03-24 03:52:25,96,-8.54,-37.69,67.8,1.25
Vao,44,EE,2019-03-24 03:52:27,84,59.1,26.19,34.05,13.11
Jiangyou,80,CN,2019-03-24 03:52:28,63,31.78,104.73,51.33,3.83
Falam,0,MM,2019-03-24 03:52:29,51,22.91,93.68,71.22,1.92
Koroni,0,GR,2019-03-24 03:50:37,41,36.8,21.96,59,15.68
Veshenskaya,80,RU,2019-03-24 03:52:32,88,49.63,41.73,31.53,4.94
Muzambinho,24,BR,2019-03-24 03:52:34,93,-21.37,-46.52,65.46,2.71
Bilsanda,0,IN,2019-03-24 03:52:35,46,28.25,79.95,76.08,14.9
Paveh,90,IR,2019-03-24 03:00:00,86,35.05,46.36,41,4.7
Flinders,40,AU,2019-03-24 03:52:13,54,-34.58,150.85,82.99,5.82
Katsuura,40,JP,2019-03-24 03:48:38,71,33.93,134.5,51.8,16.11
Fairbanks,1,US,2019-03-24 03:45:06,52,64.84,-147.72,44.6,4.7
Menongue,48,AO,2019-03-24 03:52:42,60,-14.66,17.68,67.98,2.48
Pa Sang,24,TH,2019-03-24 03:42:37,45,18.53,98.94,95,2.24
Morros,75,BR,2019-03-24 03:00:00,94,-2.87,-44.04,77,2.24
Romitan,20,UZ,2019-03-24 03:00:00,87,39.93,64.38,44.6,9.17
Komsomolskiy,76,RU,2019-03-24 03:52:47,85,67.55,63.78,22.26,19.48
Slave Lake,1,CA,2019-03-24 03:00:00,48,55.28,-114.77,42.8,4.7
Kuhdasht,75,IR,2019-03-24 03:00:00,100,33.53,47.61,44.6,2.24
Port-Gentil,88,GA,2019-03-24 03:52:51,100,-0.72,8.78,76.89,0.69
Ust-Nera,0,RU,2019-03-24 03:52:53,71,64.57,143.24,11.55,2.71
Catalina,20,CO,2019-03-24 03:00:00,83,8.86,-75.38,80.6,8.19
Asyut,0,EG,2019-03-24 03:00:00,55,27.18,31.19,62.6,20.8
Funadhoo,0,MV,2019-03-24 03:52:57,98,6.15,73.27,84.72,9.42
Kieta,100,PG,2019-03-24 03:52:58,98,-6.22,155.63,80.58,4.72
Binzhou,0,CN,2019-03-24 03:48:51,22,37.38,117.96,63,3
Gat,0,SN,2019-03-24 03:00:00,82,14.69,-16.54,64.4,14.99
Bowen,40,AU,2019-03-24 03:52:22,74,-20.01,148.25,90,12.75
Iquique,0,CL,2019-03-24 03:00:00,68,-20.22,-70.14,68,2.24
Skibotn,75,NO,2019-03-24 03:48:17,86,69.39,20.27,33.8,12.75
Thaton,0,MM,2019-03-24 03:53:06,85,16.91,97.37,86.07,5.73
Morondava,0,MG,2019-03-24 03:53:07,100,-20.3,44.28,76.98,5.39
Labuhan,64,ID,2019-03-24 03:53:09,83,-2.54,115.51,82.29,3.04
Sovetskiy,64,RU,2019-03-24 03:53:10,90,56.76,48.47,27.03,6.51
Chacabuco,12,AR,2019-03-24 03:53:11,74,-34.64,-60.47,66.63,11.65
Turukhansk,80,RU,2019-03-24 03:53:13,91,65.8,87.96,21.09,6.62
Acari,88,BR,2019-03-24 03:53:15,97,-6.44,-36.64,70.68,2.93
Brewster,1,US,2019-03-24 03:53:02,47,41.76,-70.08,37.99,12.75
Visnes,44,NO,2019-03-24 03:52:03,86,59.36,5.22,42.01,18.34
Beringovskiy,92,RU,2019-03-24 03:51:39,88,63.05,179.32,16.77,19.6
Kuytun,56,RU,2019-03-24 03:53:22,77,54.34,101.51,29.64,3.49
San Miguel,0,AR,2019-03-24 03:53:20,77,-34.54,-58.72,70,2.24
Nampula,75,MZ,2019-03-24 03:00:00,100,-15.12,39.26,73.4,3.36
Lorengau,68,PG,2019-03-24 03:53:29,97,-2.02,147.27,83.37,10.09
Fukue,75,JP,2019-03-24 03:51:14,46,35.03,136.69,57.99,19.46
Edgewater,1,US,2019-03-24 03:52:38,76,28.99,-80.9,64,7.74
Nara,40,JP,2019-03-24 03:53:31,50,34.68,135.8,52,11.41
Lubango,36,AO,2019-03-24 03:53:35,93,-14.92,13.49,64.02,2.26
Yerbogachen,48,RU,2019-03-24 03:53:36,46,61.28,108.01,9.66,6.4
Broken Hill,40,AU,2019-03-24 03:00:00,78,-31.97,141.45,71.6,14.99
Rundu,0,NA,2019-03-24 03:53:39,47,-17.91,19.77,69.69,7.4
Wundanyi,80,KE,2019-03-24 03:53:40,94,-3.4,38.37,66.72,1.7
Odder,56,DK,2019-03-24 03:52:23,100,55.98,10.15,37,5.82
Gushikawa,75,JP,2019-03-24 03:00:00,56,26.35,127.87,71.6,12.75
Bitkine,44,TD,2019-03-24 03:53:45,42,11.98,18.21,74.28,4.16
Guasdualito,75,VE,2019-03-24 03:00:00,51,7.24,-70.73,84.2,6.51
Jian,0,IN,2019-03-24 03:53:48,37,25.65,87.89,77.88,3.15
Goderich,0,CA,2019-03-24 03:53:28,75,43.74,-81.71,35.01,8.99
Tecpan,0,GT,2019-03-24 03:50:03,67,14.76,-90.99,62.6,20.8
Salalah,75,OM,2019-03-24 02:50:00,78,17.01,54.1,78.8,6.93
Caravelas,44,BR,2019-03-24 03:52:29,100,-17.73,-39.27,82.38,16.8
Santa Lucia,5,IT,2019-03-24 02:55:00,50,39.93,9.66,55.4,4.7
Baragua,36,CU,2019-03-24 03:53:56,90,21.7,-78.63,73.83,12.88
Mount Gambier,40,AU,2019-03-24 03:20:00,53,-37.83,140.78,77,18.34
Ankazoabo,8,MG,2019-03-24 03:53:59,80,-22.29,44.51,71.13,7.4
Tsaratanana,44,MG,2019-03-24 03:54:00,91,-16.8,47.65,67.53,3.71
Makakilo City,1,US,2019-03-24 03:52:15,47,21.35,-158.09,80.6,11.41
Pacific Grove,40,US,2019-03-24 03:53:53,66,36.62,-121.92,55.99,4.7
Harer,1,US,2019-03-24 03:53:38,100,42.19,-111.17,39.99,3.36
Twin Falls,90,US,2019-03-24 03:45:20,87,42.57,-114.46,48,4.7
Ilulissat,68,GL,2019-03-24 02:50:00,49,69.22,-51.1,3.2,20.8
Vila Franca do Campo,40,PT,2019-03-24 03:53:53,81,37.72,-25.43,55,25.28
Meulaboh,88,ID,2019-03-24 03:54:11,100,4.14,96.13,78.42,4.38
Vanderhoof,0,CA,2019-03-24 03:54:12,75,54.02,-124.02,34.23,2.26
San Carlos,64,VE,2019-03-24 03:54:14,47,9.66,-68.59,84.54,6.73
Motygino,88,RU,2019-03-24 03:54:16,81,58.18,94.69,28.2,2.71
Kibondo,88,TZ,2019-03-24 03:54:17,95,-3.59,30.72,61.32,1.48
Verkhoyansk,36,RU,2019-03-24 03:53:28,71,67.55,133.39,7.95,3.71
Aketi,56,CD,2019-03-24 03:54:20,96,2.74,23.78,71.85,3.38
Bonthe,44,SL,2019-03-24 03:54:21,85,7.53,-12.5,78.78,2.71
Shirokiy,0,RU,2019-03-24 03:51:54,89,53.87,39.17,25,2.82
Olavarria,8,AR,2019-03-24 03:50:22,84,-36.89,-60.32,58.8,11.65
Muzhi,36,RU,2019-03-24 03:54:25,78,65.4,64.7,15.78,13.44
Nuevo Progreso,40,US,2019-03-24 03:53:48,83,26.05,-97.95,71.6,10.29
Beidao,0,CN,2019-03-24 03:54:28,80,34.57,105.89,42.6,3.94
Florence,40,US,2019-03-24 03:54:10,52,34.8,-87.68,57,5.82
Puerto del Rosario,20,ES,2019-03-24 03:30:00,72,28.5,-13.86,60.8,8.05
Corbu,0,RO,2019-03-24 03:30:00,68,44.41,28.66,30,6.93
Beisfjord,88,NO,2019-03-24 03:45:36,93,68.38,17.6,37,35.57
Bunia,8,CD,2019-03-24 03:52:46,83,1.56,30.25,59.97,2.15
Elko,90,US,2019-03-24 03:48:44,93,40.83,-115.76,37,1.92
Bundaberg,0,AU,2019-03-24 03:45:08,48,-24.87,152.35,90,10.29
Vestmannaeyjar,32,IS,2019-03-24 03:54:42,97,63.44,-20.27,36.66,30.89
Paita,24,PE,2019-03-24 03:54:43,76,-5.09,-81.11,75.18,5.95
Manjeshwar,20,IN,2019-03-24 03:00:00,74,12.72,74.89,80.6,4.7
Sisimiut,68,GL,2019-03-24 03:52:33,75,66.94,-53.67,-12.4,1.59
Porbandar,0,IN,2019-03-24 03:00:00,57,21.64,69.61,78.8,17.22
Marzuq,0,YE,2019-03-24 03:54:48,86,14.4,46.47,47.37,2.37
Dunmore Town,0,BS,2019-03-24 03:54:50,100,25.5,-76.65,73.92,13.89
Hofn,0,IS,2019-03-24 03:54:51,100,64.25,-15.21,38.46,20.49
College,1,US,2019-03-24 03:51:05,52,64.86,-147.8,44.6,4.7
Hay River,40,CA,2019-03-24 03:00:00,57,60.82,-115.79,23,11.41
Pontes e Lacerda,12,BR,2019-03-24 03:54:55,89,-15.23,-59.33,73.47,2.82
Yenagoa,44,NG,2019-03-24 03:54:56,93,4.92,6.26,75.99,5.95
Seymchan,12,RU,2019-03-24 03:54:58,83,62.93,152.39,14.7,3.27
Myitkyina,0,MM,2019-03-24 03:54:59,85,25.38,97.4,68.16,2.93
Skagen,0,SE,2019-03-24 03:53:59,74,58.6,13.44,39.2,10.29
Kozmodemyansk,90,RU,2019-03-24 03:00:00,100,56.33,46.55,28.4,11.18
Storforshei,88,NO,2019-03-24 03:53:13,93,66.4,14.52,32,10
Bangsund,88,NO,2019-03-24 03:55:02,77,64.4,11.39,41,8.01
Mendi,24,ET,2019-03-24 03:55:08,53,9.8,35.1,64.11,2.59
The Valley,20,AI,2019-03-24 03:46:04,74,18.22,-63.06,78.8,11.41
Yazman,92,SY,2019-03-24 03:55:11,98,36.74,38.46,48.81,5.95
Batticaloa,0,LK,2019-03-24 03:55:12,98,7.71,81.69,81.75,3.71
Canutama,48,BR,2019-03-24 03:55:13,89,-6.53,-64.38,77.52,2.59
Sampit,32,ID,2019-03-24 03:55:17,91,-2.54,112.95,85.08,4.94
San Ignacio,0,CL,2019-03-24 03:00:00,59,-36.8,-72.03,60.8,8.05
Ronneby,24,SE,2019-03-24 03:50:21,93,56.21,15.28,36,5.82
Evensk,0,RU,2019-03-24 03:55:21,89,61.92,159.24,30.36,15.23
Sovetskaya,0,RU,2019-03-24 03:46:03,8,44.78,41.17,28,5.99
Svetlogorsk,92,RU,2019-03-24 03:00:00,92,53.14,59.15,23,4.47
Novyy Urengoy,80,RU,2019-03-24 03:55:25,91,66.08,76.63,22.17,6.06
Belmonte,0,PT,2019-03-24 03:55:27,68,40.36,-7.35,44.76,6.17
Galveston,1,US,2019-03-24 03:55:22,51,40.58,-86.19,42.01,4.5
Hauterive,0,FR,2019-03-24 03:45:24,81,46.09,3.45,37.4,3.36
Port Macquarie,20,AU,2019-03-24 03:00:04,34,-31.43,152.91,98.01,10.29
Kununurra,0,AU,2019-03-24 03:00:00,46,-15.77,128.74,93.2,11.41
Qarqin,0,AF,2019-03-24 03:55:36,75,37.41,66.03,50.07,16.69
Shonguy,40,RU,2019-03-24 03:00:00,68,68.75,33.15,30.2,4.47
Praya,40,ID,2019-03-24 03:30:00,70,-8.71,116.27,86,14.99
Muhos,92,FI,2019-03-24 03:54:25,64,64.81,26,37.4,23.04
El Dorado,0,VE,2019-03-24 03:55:41,57,6.71,-61.64,79.59,4.94
Buin,0,CL,2019-03-24 03:54:07,45,-33.73,-70.74,77,3.36
Tourlaville,90,FR,2019-03-24 03:50:00,87,49.64,-1.57,48.99,8.05
Yidu,92,CN,2019-03-24 03:55:48,80,30.39,111.44,53.67,4.38
Sainte-Marie,5,CA,2019-03-24 03:55:24,50,46.45,-71.03,30.99,14.99
Ucluelet,12,CA,2019-03-24 03:55:26,90,48.94,-125.55,46.99,1.92
San Angelo,1,US,2019-03-24 03:55:05,41,31.46,-100.44,64,8.05
Srandakan,64,ID,2019-03-24 03:55:14,98,-7.94,110.25,81.75,4.38
Umm Lajj,20,SA,2019-03-24 03:55:56,80,25.02,37.27,66.72,8.63
Igarka,76,RU,2019-03-24 03:55:57,85,67.47,86.57,18.03,10.54
Balboa,100,CO,2019-03-24 03:55:59,98,2.04,-77.22,67.62,1.81
Kamo,75,JP,2019-03-24 03:40:04,60,37.64,139.08,41,13.87
La Orilla,0,MX,2019-03-24 03:56:02,98,18,-102.23,73.56,2.82
Itoman,75,JP,2019-03-24 03:00:00,52,26.12,127.67,71.6,12.75
Abu Dhabi,56,AE,2019-03-24 03:00:00,57,24.47,54.37,78.8,11.41
Kadhan,0,PK,2019-03-24 03:56:07,58,24.48,68.99,73.92,13
Manali,24,IN,2019-03-24 03:56:08,77,32.25,77.19,-0.25,1.25
Havoysund,80,NO,2019-03-24 02:50:00,73,71,24.66,26.6,10.29
Puerto Baquerizo Moreno,0,EC,2019-03-24 03:56:11,95,-0.9,-89.6,79.77,13.89
Gimli,12,CA,2019-03-24 03:50:55,88,50.63,-96.99,30.99,8.01
Umm Kaddadah,0,SD,2019-03-24 03:56:15,27,13.6,26.69,65.64,2.93
Gerash,20,IR,2019-03-24 03:00:00,93,27.67,54.14,50,2.37
Macusani,36,PE,2019-03-24 03:56:17,100,-14.07,-70.43,51.87,0.69
Gigmoto,0,PH,2019-03-24 03:56:19,89,13.78,124.39,81.75,12.77
Ankang,36,CN,2019-03-24 03:56:20,56,32.73,108.99,48.9,2.93
Kovernino,88,RU,2019-03-24 03:56:21,89,57.13,43.81,23.52,7.4
Angoram,56,PG,2019-03-24 03:56:23,66,-4.06,144.07,88.5,2.71
Mao,20,DO,2019-03-24 03:50:03,83,19.55,-71.08,75.99,4.7
Ancona,1,US,2019-03-24 03:55:17,56,41.04,-88.87,48.99,6.93
